Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.155684035227245,-0.15038557963088,0.394222306978325,0,0,0,2.10754232509242,0.00435729546118946,1.96212800649361E-06,-3.16106836374245E-05,0.00431021528237915,2.71881252233039E-06,0.00679613920376316,0,0,0,0,0,0,package://body_2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://body_2/meshes/base_link.STL,,top_body-2;back_connector-2;tail-2;front_connector-1;head-4;bottom_body-3;base-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder_link_lf,0.00717177702659216,-0.0537952753446505,0.385991412345479,0,0,0,0.218350078498136,0.000119098761266887,-1.26838304791238E-08,-2.38167486209614E-06,9.40567738246345E-05,1.20632408009471E-09,0.000178357454008516,0,0,0,0,0,0,package://body_2/meshes/shoulder_link_lf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://body_2/meshes/shoulder_link_lf.STL,,shoulder-10;connector-19,Coordinate System1,Axis_shoulder_joint_lf,shoulder_joint_lf,revolute,0,0,0,0,0,0,base_link,0.0005065,1,0,100,1.5,-1.5708,1.5708,,,10,0.1,,,,
thigh_link_lf,0.0011572,-0.031402,0.26058,0,0,0,0.4738,0.0015065,-5.1466E-08,2.4239E-20,0.0014049,-4.0206E-18,0.00020143,0,0,0,0,0,0,package://body_2/meshes/thigh_link_lf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://body_2/meshes/thigh_link_lf.STL,,connector-21;thigh-9;connector2-16,Coordinate System1,Axis_elbow_joint_lf,elbow_joint_lf,revolute,0,0,0,0,0,0,shoulder_link_lf,0.0005065,1,0,100,1.5,-1.5708,0.5708,,,10,0.1,,,,
shank_link_lf,-1.2433E-05,-0.024548,0.06946,0,0,0,0.19795,0.00028816,-1.3086E-08,6.3593E-21,0.00026232,-7.3321E-19,5.482E-05,0,0,0,0,0,0,package://body_2/meshes/shank_link_lf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://body_2/meshes/shank_link_lf.STL,,shank-9;connector2-20,Coordinate System1,Axis_knee_joint_rf,knee_joint_lf,revolute,0,0,0,0,0,0,thigh_link_lf,0.0005065,1,0,100,1.5,-1.5708,1.5708,,,10,0.1,,,,
shoulder_link_rf,0.00678657716852507,-0.24621183307722,0.385984477189113,0,0,0,0.218350078498136,0.000119007083932726,-1.26373956875525E-08,-4.80928295612577E-07,9.4056773801115E-05,2.43591345570969E-10,0.000178449131366197,0,0,0,0,0,0,package://body_2/meshes/shoulder_link_rf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://body_2/meshes/shoulder_link_rf.STL,,shoulder-7;connector-14,Coordinate System1,Axis_shoulder_joint_rf,shoulder_joint_rf,revolute,0,0,0,0,0,0,base_link,0.0005065,1,0,100,1.5,-1.5708,1.5708,,,10,0.1,,,,
thigh_link_rf,0.00089202,-0.2686,0.26055,0,0,0,0.4738,0.0015065,-5.1466E-08,-2.3111E-20,0.0014049,-4.2668E-18,0.00020143,0,0,0,0,0,0,package://body_2/meshes/thigh_link_rf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://body_2/meshes/thigh_link_rf.STL,,connector-15;thigh-8;connector2-13,Coordinate System1,Axis_elbow_joint_rf,elbow_joint_rf,revolute,0,0,0,0,0,0,shoulder_link_rf,0.0005065,1,0,100,1.5,-1.5708,1.5708,,,10,0.1,,,,
shank_link_rf,-0.00013952,-0.27545,0.069436,0,0,0,0.19795,0.00028816,-1.3086E-08,-8.1673E-19,0.00026232,-7.0243E-19,5.482E-05,0,0,0,0,0,0,package://body_2/meshes/shank_link_rf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://body_2/meshes/shank_link_rf.STL,,connector2-14;shank-8,Coordinate System1,Axis_knee_joint_rf,knee_joint_rf,revolute,0,0,0,0,0,0,thigh_link_rf,0.000506502354392091,0.999999871727674,0,100,1.5,-1.5708,1.5708,,,10,0.1,,,,
shoulder_link_lb,-0.316119794412013,-0.0542536019385395,0.384115405127243,0,0,0,0.218350078498136,0.000119007090333597,2.57750436027565E-19,-4.80928357302368E-07,9.40567674002435E-05,9.53966235697497E-21,0.000178449131366197,0,0,0,0,0,0,package://body_2/meshes/shoulder_link_lb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://body_2/meshes/shoulder_link_lb.STL,,shoulder-11;connector-20,Coordinate System1,Axis_shoulder_joint_lb,shoulder_joint_lb,revolute,0,0,0,0,0,0,base_link,0,1,0,100,1.5,-1.5708,1.5708,,,10,0.1,,,,
thigh_link_lb,-0.31276,-0.031863,0.25868,0,0,0,0.4738,0.0015065,3.9168E-19,-4.5601E-18,0.0014049,3.3947E-19,0.00020143,0,0,0,0,0,0,package://body_2/meshes/thigh_link_lb.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://body_2/meshes/thigh_link_lb.STL,,connector-22;thigh-10;connector2-21,Coordinate System1,Axis_elbow_joint_lb,elbow_joint_lb,revolute,0,0,0,0,0,0,shoulder_link_lb,0,1,0,100,1.5,-1.5708,1.5708,,,10,0.1,,,,
shank_link_lb,-0.31222,-0.02501,0.067567,0,0,0,0.19795,0.00028816,1.7816E-19,-1.6642E-20,0.00026232,-6.9745E-19,5.482E-05,0,0,0,0,0,0,package://body_2/meshes/shank_link_lb.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://body_2/meshes/shank_link_lb.STL,,shank-10;connector2-22,Coordinate System1,Axis_knee_joint_rf,knee_joint_lb,revolute,0,0,0,0,0,0,thigh_link_lb,0.0005065,1,0,100,1.5,-1.5708,1.5708,,,10,0.1,,,,
shoulder_link_rb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://body_2/meshes/shoulder_link_rb.STL,1,1,1,1,0,0,0,0,0,0,package://body_2/meshes/shoulder_link_rb.STL,,shoulder-2;connector-3,Coordinate System1,Axis_shoulder_joint_lb,shoulder_joint_rb,revolute,0,0,0,0,0,0,base_link,0,1,0,100,1.5,-1.5708,1.5708,,,10,0.1,,,,
thigh_link_rb,-0.31276,-0.26906,0.25868,0,0,0,0.4738,0.0015065,3.7799E-19,-4.5547E-18,0.0014049,1.8667E-19,0.00020143,0,0,0,0,0,0,package://body_2/meshes/thigh_link_rb.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://body_2/meshes/thigh_link_rb.STL,,connector-4;thigh-1;connector2-1,Coordinate System1,Axis_elbow_joint_rb,elbow_joint_rb,revolute,0,0,0,0,0,0,shoulder_link_rb,0,1,0,100,1.5,-1.5708,1.5708,,,10,0.1,,,,
shank_link_rb,-0.157777969833373,0.301408289526244,-0.114944515476192,0,0,0,0.197946507794996,0.000288156381500193,2.03184467607051E-20,1.74636529331936E-19,5.48196355836687E-05,6.83615271764718E-19,0.000262320444376973,0,0,0,0,0,0,package://body_2/meshes/shank_link_rb.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://body_2/meshes/shank_link_rb.STL,,connector2-2;shank-1,Origin_global,Axis_knee_joint_rf,knee_joint_rb,revolute,-0.15444,-0.16097,0.36897,-1.5708,0,0,thigh_link_rb,0.0005065,0,1,100,1.5,-1.5708,1.5708,,,10,0.1,,,,
